,City,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country
425,charlestown,-32.95,151.67,99.0,58.0,75.0,10.29,AU
426,senador jose porfirio,-2.59,-51.95,74.68,91.0,100.0,3.56,BR
427,cap malheureux,-19.98,57.61,72.0,88.0,40.0,5.82,MU
428,ucluelet,48.93,-125.55,43.0,93.0,90.0,18.34,CA
429,hualmay,-11.1,-77.61,70.59,81.0,100.0,5.55,PE
430,klyuchi,52.27,79.17,15.94,85.0,66.0,14.61,RU
431,kautokeino,69.01,23.04,-1.57,93.0,100.0,4.34,NO
432,barinas,8.62,-70.21,82.02,54.0,0.0,6.15,VE
433,inta,66.03,60.17,-15.84,98.0,100.0,4.16,RU
434,tabou,4.42,-7.35,76.64,90.0,16.0,1.52,CI
435,aklavik,68.22,-135.01,-23.8,67.0,90.0,12.75,CA
436,chabahar,25.29,60.64,58.03,36.0,0.0,4.68,IR
437,lagoa,39.05,-27.98,63.46,95.0,100.0,11.9,PT
438,victor harbor,-35.57,138.62,82.99,56.0,100.0,10.29,AU
439,los llanos de aridane,28.66,-17.92,64.4,59.0,90.0,6.93,ES
440,kattivakkam,13.22,80.32,75.0,88.0,20.0,11.05,IN
441,loubomo,-4.2,12.67,74.12,96.0,100.0,2.64,CG
442,hambantota,6.12,81.12,76.95,74.0,100.0,16.17,LK
443,kirakira,-10.45,161.92,83.68,78.0,100.0,8.81,SB
445,murdochville,48.96,-65.5,11.14,95.0,100.0,8.72,CA
447,samarai,-10.62,150.67,83.66,77.0,93.0,6.35,PG
448,satis,54.92,43.23,12.58,89.0,100.0,5.55,RU
449,solginskiy,61.05,41.34,2.64,90.0,100.0,3.67,RU
450,mogzon,51.74,111.96,17.69,76.0,6.0,1.81,RU
451,sitka,57.05,-135.33,37.4,74.0,75.0,11.41,US
452,sayyan,15.17,44.32,39.51,58.0,0.0,1.39,YE
454,neuquen,-38.95,-68.06,77.0,53.0,4.0,13.09,AR
455,waingapu,-9.66,120.26,84.22,73.0,83.0,2.93,ID
456,denpasar,-8.65,115.22,87.8,79.0,20.0,2.24,ID
457,stornoway,58.21,-6.39,37.4,86.0,58.0,11.41,GB
458,yamada,39.47,141.95,39.13,63.0,100.0,11.92,JP
459,abnub,27.27,31.15,46.4,49.0,66.0,3.36,EG
460,sulangan,11.14,123.72,81.07,77.0,3.0,8.32,PH
461,san cristobal,7.77,-72.22,80.6,69.0,40.0,2.24,VE
462,port macquarie,-31.43,152.92,97.0,49.0,0.0,9.17,AU
463,mocuba,-16.84,36.99,74.23,98.0,100.0,1.79,MZ
464,borogontsy,62.67,131.17,-26.57,97.0,23.0,4.18,RU
465,bellview,30.46,-87.31,53.01,93.0,1.0,4.7,US
466,kalmunai,7.42,81.82,79.52,70.0,69.0,11.45,LK
467,lensk,60.73,114.93,4.71,94.0,24.0,6.44,RU
468,kandi,11.13,2.94,65.39,15.0,0.0,5.14,BJ
469,andenes,69.31,16.12,26.01,73.0,100.0,24.16,NO
470,horqueta,-23.34,-57.06,78.3,46.0,49.0,3.33,PY
472,bozoum,6.32,16.38,65.16,19.0,0.0,4.56,CF
475,golden,39.76,-105.22,37.99,91.0,40.0,3.36,US
476,anloga,5.79,0.9,77.99,84.0,19.0,8.28,GH
478,lima,-12.04,-77.03,75.2,83.0,75.0,16.11,PE
479,shellbrook,53.22,-106.4,23.0,92.0,90.0,5.82,CA
480,kabinda,-6.13,24.48,69.04,91.0,100.0,5.86,CD
481,gimli,50.63,-96.99,17.01,97.0,73.0,1.7,CA
482,zlobin,45.29,14.65,53.01,93.0,75.0,5.82,HR
483,broken hill,-31.95,141.43,89.6,17.0,0.0,14.99,AU
484,santa maria,-29.68,-53.81,77.0,69.0,20.0,10.29,BR
485,maldonado,-34.67,-54.92,60.8,67.0,20.0,3.36,UY
486,zaysan,47.47,84.87,27.19,86.0,100.0,2.8,KZ
487,mehamn,71.04,27.85,11.91,79.0,62.0,8.05,NO
488,isla mujeres,21.23,-86.73,75.2,88.0,40.0,6.93,MX
489,fort nelson,58.81,-122.7,8.6,84.0,75.0,3.36,CA
490,vardo,70.37,31.11,21.79,66.0,100.0,8.23,NO
491,kiama,-34.68,150.87,88.0,65.0,75.0,4.7,AU
492,flinders,-34.58,150.86,88.0,65.0,75.0,4.7,AU
494,vestmannaeyjar,63.44,-20.27,40.55,67.0,81.0,23.71,IS
495,presidente prudente,-22.13,-51.39,78.8,54.0,13.0,4.7,BR
497,walvis bay,-22.96,14.51,62.01,82.0,0.0,2.24,NA
498,torres,-29.34,-49.73,74.64,79.0,65.0,16.06,BR
499,manaure,11.78,-72.44,80.6,78.0,40.0,6.93,CO
500,kommunisticheskiy,61.68,64.48,-6.63,95.0,100.0,9.13,RU
501,khash,28.22,61.22,35.15,62.0,0.0,13.67,IR
502,siderno,38.28,16.3,55.99,87.0,40.0,3.36,IT
503,jaque,7.52,-78.17,69.89,96.0,8.0,2.86,PA
504,kamakwie,9.5,-12.23,66.7,34.0,100.0,1.03,SL
505,hirara,24.8,125.28,66.2,68.0,75.0,12.75,JP
506,ilhabela,-23.78,-45.36,78.21,75.0,0.0,11.86,BR
507,tomaszow mazowiecki,51.53,20.01,34.0,92.0,100.0,3.36,PL
508,san marcos,33.14,-117.17,64.99,82.0,1.0,3.36,US
509,nikolskoye,59.7,30.79,24.8,85.0,90.0,6.71,RU
510,alamosa,37.47,-105.87,30.2,58.0,40.0,12.75,US
511,svetlyy,54.67,20.13,35.6,100.0,90.0,8.95,RU
512,meulaboh,4.14,96.13,81.36,76.0,82.0,6.02,ID
513,baiao,-2.79,-49.67,73.44,99.0,100.0,1.72,BR
514,san luis,-33.3,-66.34,78.98,36.0,0.0,16.06,AR
515,barcelos,41.54,-8.62,55.0,100.0,90.0,4.7,PT
516,la ciotat,43.17,5.6,48.0,93.0,40.0,4.7,FR
517,tessalit,20.2,1.01,70.02,10.0,66.0,8.84,ML
518,kuryk,43.2,51.65,44.49,77.0,4.0,10.65,KZ
519,sao filipe,14.9,-24.5,74.19,55.0,73.0,17.29,CV
520,kolvereid,64.87,11.6,34.0,76.0,100.0,5.99,NO
521,khromtau,50.25,58.43,9.21,90.0,90.0,20.0,KZ
522,port blair,11.67,92.75,66.2,82.0,20.0,13.42,IN
523,indianola,41.36,-93.56,30.2,92.0,90.0,6.93,US
525,nizhniy lomov,53.53,43.68,13.44,90.0,100.0,7.58,RU
527,grindavik,63.84,-22.43,33.8,79.0,75.0,16.11,IS
528,moron,-34.65,-58.62,70.0,63.0,0.0,9.17,AR
529,awjilah,29.11,21.29,56.39,27.0,26.0,5.39,LY
530,namatanai,-3.67,152.43,83.89,77.0,21.0,14.7,PG
531,sabang,5.89,95.32,81.34,74.0,78.0,13.87,ID
532,vila,42.03,-8.16,55.99,100.0,75.0,5.82,PT
533,taltal,-25.4,-70.48,64.85,89.0,0.0,2.98,CL
534,padang,-0.95,100.35,79.95,72.0,100.0,1.52,ID
535,oksfjord,70.24,22.35,8.6,70.0,19.0,14.99,NO
536,bandarbeyla,9.49,50.81,75.4,71.0,42.0,27.09,SO
537,bonavista,48.65,-53.11,35.01,87.0,100.0,11.99,CA
538,nicoya,10.15,-85.45,82.4,69.0,75.0,2.24,CR
539,mahajanga,-15.72,46.32,78.8,94.0,40.0,2.24,MG
540,abu samrah,35.3,37.18,44.92,89.0,100.0,6.73,SY
541,chiredzi,-21.05,31.67,70.09,80.0,100.0,7.36,ZW
542,alugan,12.22,125.48,81.86,71.0,21.0,4.65,PH
543,marzuq,14.4,46.47,47.5,37.0,0.0,2.93,YE
544,dhuwaran,22.23,72.8,64.4,72.0,20.0,4.7,IN
545,praia da vitoria,38.73,-27.07,64.4,93.0,75.0,31.97,PT
546,nha trang,12.25,109.18,73.4,94.0,40.0,1.12,VN
547,kitui,-1.37,38.01,66.29,96.0,93.0,0.76,KE
548,bruchkobel,50.18,8.92,46.0,100.0,90.0,10.29,DE
549,shibetsu,43.66,145.13,24.8,53.0,0.0,4.7,JP
550,tabory,58.52,64.55,-3.86,96.0,100.0,7.14,RU
551,sabha,27.04,14.43,56.17,35.0,71.0,11.92,LY
552,saint-augustin,51.23,-58.65,18.46,90.0,100.0,23.17,CA
553,dongsheng,39.82,109.98,23.49,85.0,90.0,11.68,CN
554,emerald,-23.53,148.17,84.2,66.0,75.0,8.05,AU
555,cockburn town,21.46,-71.14,76.39,76.0,25.0,10.16,TC
556,malanje,-9.54,16.34,61.79,96.0,69.0,2.84,AO
557,genthin,52.4,12.17,44.01,84.0,98.0,3.0,DE
558,otradnoye,59.78,30.82,24.8,85.0,90.0,6.71,RU
559,seminole,28.71,-81.21,66.2,67.0,90.0,5.03,US
560,preston,53.77,-2.72,41.0,86.0,40.0,9.17,GB
561,buala,-8.14,159.59,83.68,77.0,56.0,8.79,SB
562,serenje,-13.23,30.24,60.89,95.0,100.0,1.83,ZM
563,belyy yar,53.6,91.39,1.4,84.0,100.0,2.24,RU
564,darnah,32.77,22.64,60.33,74.0,0.0,20.89,LY
565,karpathos,35.51,27.21,59.0,77.0,75.0,18.34,GR
566,wanning,18.8,110.4,63.63,87.0,100.0,8.75,CN
567,chicama,-7.84,-79.15,71.6,88.0,100.0,10.29,PE
569,beisfjord,68.38,17.6,24.01,57.0,100.0,29.97,NO
570,hay river,60.82,-115.8,14.0,85.0,90.0,4.7,CA
571,qaqortoq,60.72,-46.03,12.2,61.0,62.0,8.05,GL
572,dunedin,-45.87,170.5,68.0,63.0,71.0,8.48,NZ
573,loa janan,-0.58,117.09,83.55,86.0,98.0,2.86,ID
574,cayambe,0.05,-78.13,57.2,76.0,75.0,3.36,EC
576,murud,18.33,72.97,70.3,77.0,85.0,2.39,IN
577,changde,29.05,111.68,43.34,66.0,34.0,2.98,CN
578,port hardy,50.7,-127.42,44.6,81.0,75.0,26.4,CA
579,vuktyl,63.86,57.31,-17.97,97.0,100.0,4.59,RU
580,moscow,55.75,37.62,25.0,92.0,75.0,13.42,RU
581,chimoio,-19.12,33.48,67.77,97.0,45.0,4.83,MZ
582,ryotsu,38.08,138.43,44.6,87.0,75.0,14.99,JP
583,vila franca do campo,37.72,-25.43,62.6,100.0,75.0,20.8,PT
584,bantogon,6.53,124.03,83.55,71.0,0.0,6.78,PH
585,isabela,6.71,121.97,87.8,66.0,20.0,9.17,PH
586,luau,-10.71,22.22,65.39,99.0,100.0,2.42,AO
587,sal rei,16.18,-22.92,70.16,80.0,0.0,17.2,CV
588,mackenzie,55.3,-123.17,30.2,86.0,90.0,5.82,CA
589,angoche,-16.23,39.91,74.91,96.0,100.0,6.04,MZ
590,lyubech,51.7,30.66,31.06,86.0,99.0,4.68,UA
591,kaeo,-35.1,173.78,81.0,76.0,1.0,7.0,NZ
592,kavaratti,10.57,72.64,80.83,61.0,100.0,4.63,IN
593,ornskoldsvik,63.29,18.72,32.0,100.0,100.0,5.82,SE
594,santa isabel do rio negro,-0.41,-65.02,75.65,90.0,15.0,1.95,BR
595,marapanim,-0.72,-47.7,82.08,79.0,100.0,14.36,BR
596,safranbolu,41.25,32.69,35.56,78.0,98.0,4.68,TR
597,zhumadian,32.98,114.03,44.46,53.0,0.0,5.91,CN
598,aloleng,16.13,119.78,82.96,54.0,66.0,5.82,PH
599,zhigansk,66.77,123.37,-30.12,87.0,6.0,8.12,RU
600,linjiang,41.81,126.91,29.98,81.0,100.0,1.25,CN
